delta Vx Vy Time Fyf MyfBuf Fyr MyrBuf YawR rYawBuf Beta BetaBuf Vy VyBuf
 0.000000 13.886250 -0.015107  0.025000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -0.000000  0.000000 -0.015107  0.000000 
 0.000000 13.883223  0.004426  0.050000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.000000  0.000000  0.004426  0.000000 
 0.000000 13.879661 -0.007692  0.075000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.000000  0.000000 -0.007692  0.000000 
 0.000000 13.875462 -0.003297  0.100000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.000000  0.000000 -0.003297  0.000000 
 0.000000 13.870582  0.014893  0.125000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.014893  0.000000 
 0.000000 13.865038  0.026186  0.150000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.026186  0.000000 
 0.000000 13.858890 -0.004952  0.175000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000 -0.004952  0.000000 
 0.000000 13.852238  0.008197  0.200000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.008197  0.000000 
 0.000000 13.845213 -0.005961  0.225000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -0.005961  0.000000 
 0.000000 13.837958  0.005743  0.250000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.005743  0.000000 
 0.000000 13.830627  0.011006  0.275000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.011006  0.000000 
 0.000000 13.823369 -0.015431  0.300000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -0.015431  0.000000 
 0.000000 13.816319  0.006875  0.325000  0.000000 -0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000  0.006875  0.000000 
 0.000000 13.809595  0.015036  0.350000  0.000000 -0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000  0.015036  0.000000 
 0.000000 13.803290  0.002309  0.375000  0.000000 -0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000  0.002309  0.000000 
 0.000000 13.797474  0.043271  0.400000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000  0.043271  0.000000 
 0.000000 13.792185 -0.015223  0.425000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.015223  0.000000 
 0.000000 13.787439 -0.018437  0.450000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.018437  0.000000 
 0.000000 13.783224 -0.043772  0.475000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.043772  0.000000 
 0.000000 13.779508  0.022775  0.500000  0.000000  0.000000  0.000000 -0.000000 -0.000000  0.000000 -0.000000  0.000000  0.022775  0.000000 
 0.000000 13.776236  0.021690  0.525000  0.000000 -0.000000  0.000000 -0.000000 -0.000000  0.000000  0.000000  0.000000  0.021690  0.000000 
 0.000000 13.773330 -0.001998  0.550000  0.000000 -0.000000  0.000000 -0.000000 -0.000000  0.000000  0.000000  0.000000 -0.001998  0.000000 
 0.000000 13.770682  0.022475  0.575000  0.000000  0.000000  0.000000 -0.000000 -0.000000  0.000000  0.000000  0.000000  0.022475  0.000000 
 0.000000 13.768131  0.004595  0.600000  0.000000  0.000000  0.000000 -0.000000 -0.000000  0.000000  0.000000  0.000000  0.004595  0.000000 
 0.000000 13.765668  0.007274  0.625000  0.000000 -0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000  0.007274  0.000000 
 0.000000 13.763374  0.002825  0.650000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.002825  0.000000 
 0.000000 13.761303  0.011005  0.675000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000  0.011005  0.000000 
 0.000000 13.759489  0.002543  0.700000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000  0.002543  0.000000 
 0.000000 13.757960  0.069724  0.725000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000  0.069724  0.000000 
 0.000000 13.756734 -0.029183  0.750000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.029183  0.000000 
 0.000000 13.755820 -0.046384  0.775000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.046384  0.000000 
 0.000000 13.755219 -0.028533  0.800000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.028533  0.000000 
 0.000000 13.754925 -0.027349  0.825000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.027349  0.000000 
-0.000048 13.754922 -0.010851  0.850000 -1.560684 -0.000000  0.004410 -0.000000 -0.000004  0.000000 -0.000000  0.000000 -0.010851 -0.000000 
-0.000206 13.755192 -0.004286  0.875000 -11.002411 -0.033885  0.074837 -0.000594 -0.000053 -0.000017 -0.000005  0.000743 -0.004286 -0.000020 
-0.000534 13.755712 -0.005771  0.900000 -32.674240 -0.271990  0.303604 -0.006721 -0.000239 -0.000137 -0.000022  0.016516 -0.005771 -0.000149 
-0.001121 13.756456  0.012681  0.925000 -75.569260 -0.979669  0.672783 -0.024836 -0.000713 -0.000494 -0.000062  0.110305  0.012681 -0.000507 
-0.002019 13.757401  0.007821  0.950000 -142.940338 -2.615952  0.828705 -0.070762 -0.001678 -0.001321 -0.000139  0.446105  0.007821 -0.001281 
-0.003316 13.758517  0.015127  0.975000 -242.821075 -5.711310 -0.098679 -0.171403 -0.003384 -0.002878 -0.000266  1.354897  0.015127 -0.002640 
-0.005039 13.759779  0.038207  1.000000 -375.572449 -10.968489 -3.643005 -0.381602 -0.006100 -0.005505 -0.000456  3.397033  0.038207 -0.004787 
