delta Vx Time Fyf MyfBuf Fyr MyrBuf YawR rYawBuf Beta BetaBuf
 0.000000 13.886250  0.025000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -0.000000      -nan 
 0.000000 13.883223  0.050000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.000000      -nan 
 0.000000 13.879661  0.075000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.000000      -nan 
 0.000000 13.875462  0.100000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000 -0.000000      -nan 
 0.000000 13.870582  0.125000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000      -nan 
 0.000000 13.865038  0.150000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000      -nan 
 0.000000 13.858890  0.175000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000      -nan 
 0.000000 13.852238  0.200000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000      -nan 
 0.000000 13.845213  0.225000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000  0.000000      -nan 
 0.000000 13.837958  0.250000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000  0.000000      -nan 
 0.000000 13.830627  0.275000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000  0.000000      -nan 
 0.000000 13.823369  0.300000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000  0.000000      -nan 
 0.000000 13.816319  0.325000  0.000000 -0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000      -nan 
 0.000000 13.809595  0.350000  0.000000 -0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000      -nan 
 0.000000 13.803290  0.375000  0.000000 -0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000      -nan 
 0.000000 13.797474  0.400000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000      -nan 
 0.000000 13.792185  0.425000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000      -nan 
 0.000000 13.787439  0.450000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000      -nan 
 0.000000 13.783224  0.475000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000      -nan 
 0.000000 13.779508  0.500000  0.000000  0.000000  0.000000 -0.000000 -0.000000  0.000000 -0.000000      -nan 
 0.000000 13.776236  0.525000  0.000000 -0.000000  0.000000 -0.000000 -0.000000  0.000000  0.000000      -nan 
 0.000000 13.773330  0.550000  0.000000 -0.000000  0.000000 -0.000000 -0.000000  0.000000  0.000000      -nan 
 0.000000 13.770682  0.575000  0.000000  0.000000  0.000000 -0.000000 -0.000000  0.000000  0.000000      -nan 
 0.000000 13.768131  0.600000  0.000000  0.000000  0.000000 -0.000000 -0.000000  0.000000  0.000000      -nan 
 0.000000 13.765668  0.625000  0.000000 -0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000      -nan 
 0.000000 13.763374  0.650000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000      -nan 
 0.000000 13.761303  0.675000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000      -nan 
 0.000000 13.759489  0.700000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000      -nan 
 0.000000 13.757960  0.725000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000      -nan 
 0.000000 13.756734  0.750000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000      -nan 
 0.000000 13.755820  0.775000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000      -nan 
 0.000000 13.755219  0.800000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000      -nan 
 0.000000 13.754925  0.825000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000      -nan 
-0.000048 13.754922  0.850000 -1.560684 -0.000000  0.004410 -0.000000 -0.000004  0.000000 -0.000000      -nan 
-0.000206 13.755192  0.875000 -11.002411 -0.033885  0.074837 -0.000594 -0.000053 -0.000017 -0.000005      -nan 
-0.000534 13.755712  0.900000 -32.674240 -0.271990  0.303604 -0.006721 -0.000239 -0.000120 -0.000022      -nan 
-0.001121 13.756456  0.925000 -75.569260 -0.979669  0.672783 -0.024836 -0.000713 -0.000357 -0.000062      -nan 
-0.002019 13.757401  0.950000 -142.940338 -2.615952  0.828705 -0.070762 -0.001678 -0.000826 -0.000139      -nan 
-0.003316 13.758517  0.975000 -242.821075 -5.711310 -0.098679 -0.171403 -0.003384 -0.001558 -0.000266      -nan 
-0.005039 13.759779  1.000000 -375.572449 -10.968489 -3.643005 -0.381602 -0.006100 -0.002627 -0.000456      -nan 
-0.007265 13.761155  1.025000 -547.421265 -19.099583 -11.976135 -0.791267 -0.010105 -0.004018 -0.000719      -nan 
-0.009999 13.762611  1.050000 -754.215271 -30.949518 -27.843765 -1.545260 -0.015659 -0.005772 -0.001063      -nan 
-0.013307 13.764112  1.075000 -1002.985840 -47.274567 -54.332573 -2.847864 -0.022994 -0.007807 -0.001493      -nan 
-0.017168 13.765610  1.100000 -1292.111084 -68.981400 -94.601967 -4.978024 -0.032339 -0.010161 -0.002015      -nan 
-0.021604 13.767053  1.125000 -1624.864990 -96.944611 -151.704941 -8.284081 -0.043891 -0.012775 -0.002633      -nan 
-0.026570 13.768381  1.150000 -1980.791138 -132.106705 -228.650253 -13.187908 -0.057744 -0.015646 -0.003342      -nan 
-0.032006 13.769531  1.175000 -2368.937012 -174.975586 -328.291687 -20.157928 -0.073889 -0.018513 -0.004133      -nan 
-0.037802 13.770429  1.200000 -2773.597656 -226.248978 -452.711700 -29.733557 -0.092288 -0.021437 -0.004997      -nan 
-0.043994 13.771013  1.225000 -3171.112793 -286.289673 -603.670776 -42.489426 -0.112674 -0.024221 -0.005909      -nan 
-0.050349 13.771226  1.250000 -3572.065430 -354.974060 -782.290833 -58.987885 -0.134744 -0.026586 -0.006850      -nan 
-0.056940 13.771010  1.275000 -3952.308594 -432.377197 -984.897339 -79.854759 -0.158142 -0.028631 -0.007800      -nan 
-0.063545 13.770333  1.300000 -4313.657715 -518.083496 -1212.595703 -105.586693 -0.182397 -0.030142 -0.008732      -nan 
-0.070126 13.769167  1.325000 -4654.761719 -611.702881 -1460.972900 -136.706406 -0.207108 -0.031124 -0.009635      -nan 
-0.076525 13.767506  1.350000 -4957.228027 -712.800903 -1728.865479 -173.658508 -0.231781 -0.031617 -0.010496      -nan 
-0.082607 13.765367  1.375000 -5228.243652 -820.551697 -2002.884033 -216.837341 -0.255938 -0.031441 -0.011300      -nan 
